 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Xenon in  U-Mo.txt

 Ion = Xenon [54] , Mass = 131.904 amu

 Target Density =  1.7200E+01 g/cm3 = 5.0440E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    077.00    089.25   
     Mo     42    023.00    010.75   
 ====================================
 Bragg Correction = 0.37%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.80 MeV   1.788E+02  3.813E+02    2110 A      1074 A       766 A   
   2.00 MeV   1.924E+02  3.692E+02    2357 A      1177 A       846 A   
   2.25 MeV   2.091E+02  3.552E+02    2669 A      1303 A       945 A   
   2.50 MeV   2.255E+02  3.423E+02    2983 A      1425 A      1044 A   
   2.75 MeV   2.416E+02  3.304E+02    3298 A      1544 A      1142 A   
   3.00 MeV   2.574E+02  3.195E+02    3613 A      1659 A      1238 A   
   3.25 MeV   2.729E+02  3.094E+02    3929 A      1771 A      1334 A   
   3.50 MeV   2.881E+02  3.000E+02    4244 A      1879 A      1428 A   
   3.75 MeV   3.031E+02  2.912E+02    4559 A      1984 A      1522 A   
   4.00 MeV   3.178E+02  2.831E+02    4873 A      2086 A      1613 A   
   4.50 MeV   3.466E+02  2.682E+02    5497 A      2280 A      1793 A   
   5.00 MeV   3.748E+02  2.552E+02    6114 A      2462 A      1966 A   
   5.50 MeV   4.025E+02  2.435E+02    6724 A      2633 A      2133 A   
   6.00 MeV   4.299E+02  2.330E+02    7324 A      2794 A      2294 A   
   6.50 MeV   4.571E+02  2.236E+02    7916 A      2945 A      2449 A   
   7.00 MeV   4.842E+02  2.150E+02    8497 A      3088 A      2598 A   
   8.00 MeV   5.384E+02  1.999E+02    9628 A      3347 A      2878 A   
   9.00 MeV   5.929E+02  1.871E+02    1.07 um     3577 A      3136 A   
  10.00 MeV   6.479E+02  1.761E+02    1.18 um     3780 A      3374 A   
  11.00 MeV   7.035E+02  1.665E+02    1.28 um     3962 A      3593 A   
  12.00 MeV   7.596E+02  1.580E+02    1.37 um     4123 A      3794 A   
  13.00 MeV   8.161E+02  1.505E+02    1.46 um     4268 A      3979 A   
  14.00 MeV   8.728E+02  1.437E+02    1.55 um     4397 A      4151 A   
  15.00 MeV   9.297E+02  1.376E+02    1.64 um     4514 A      4309 A   
  16.00 MeV   9.865E+02  1.321E+02    1.72 um     4619 A      4455 A   
  17.00 MeV   1.043E+03  1.271E+02    1.79 um     4715 A      4591 A   
  18.00 MeV   1.099E+03  1.225E+02    1.87 um     4801 A      4718 A   
  20.00 MeV   1.209E+03  1.143E+02    2.01 um     4955 A      4946 A   
  22.50 MeV   1.343E+03  1.057E+02    2.18 um     5114 A      5191 A   
  25.00 MeV   1.470E+03  9.843E+01    2.33 um     5246 A      5403 A   
  27.50 MeV   1.590E+03  9.222E+01    2.47 um     5357 A      5587 A   
  30.00 MeV   1.703E+03  8.683E+01    2.61 um     5452 A      5749 A   
  32.50 MeV   1.809E+03  8.210E+01    2.73 um     5535 A      5894 A   
  35.00 MeV   1.908E+03  7.793E+01    2.86 um     5607 A      6024 A   
  37.50 MeV   2.001E+03  7.420E+01    2.97 um     5672 A      6142 A   
  40.00 MeV   2.089E+03  7.085E+01    3.09 um     5729 A      6249 A   
  45.00 MeV   2.249E+03  6.508E+01    3.30 um     5832 A      6440 A   
  50.00 MeV   2.392E+03  6.026E+01    3.50 um     5919 A      6604 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E+00                 eV / Angstrom 
  1.0000E+01                keV / micron   
  1.0000E+01                MeV / mm       
  5.8141E-03                keV / (ug/cm2) 
  5.8141E-03                MeV / (mg/cm2) 
  5.8141E+00                keV / (mg/cm2) 
  1.9825E+00                 eV / (1E15 atoms/cm2)
  7.9084E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
