 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in  U-Mo.txt

 Ion = Molybdenum [42] , Mass = 97.905 amu

 Target Density =  1.7200E+01 g/cm3 = 5.0440E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    077.00    089.25   
     Mo     42    023.00    010.75   
 ====================================
 Bragg Correction = 0.37%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  32.50 keV   1.499E+01  2.355E+02      80 A        67 A        52 A   
  35.00 keV   1.556E+01  2.401E+02      85 A        70 A        54 A   
  37.50 keV   1.610E+01  2.443E+02      89 A        74 A        57 A   
  40.00 keV   1.663E+01  2.481E+02      93 A        77 A        59 A   
  45.00 keV   1.764E+01  2.551E+02     101 A        82 A        63 A   
  50.00 keV   1.859E+01  2.611E+02     109 A        88 A        68 A   
  55.00 keV   1.950E+01  2.665E+02     117 A        94 A        72 A   
  60.00 keV   2.037E+01  2.712E+02     125 A        99 A        76 A   
  65.00 keV   2.120E+01  2.754E+02     132 A       105 A        80 A   
  70.00 keV   2.200E+01  2.792E+02     140 A       110 A        84 A   
  80.00 keV   2.352E+01  2.856E+02     155 A       121 A        92 A   
  90.00 keV   2.494E+01  2.909E+02     170 A       131 A       100 A   
 100.00 keV   2.629E+01  2.953E+02     185 A       142 A       107 A   
 110.00 keV   2.758E+01  2.990E+02     200 A       152 A       114 A   
 120.00 keV   2.880E+01  3.021E+02     214 A       162 A       122 A   
 130.00 keV   2.998E+01  3.047E+02     229 A       172 A       129 A   
 140.00 keV   3.111E+01  3.069E+02     243 A       182 A       136 A   
 150.00 keV   3.220E+01  3.087E+02     258 A       191 A       143 A   
 160.00 keV   3.326E+01  3.102E+02     272 A       201 A       150 A   
 170.00 keV   3.428E+01  3.115E+02     286 A       211 A       156 A   
 180.00 keV   3.528E+01  3.125E+02     301 A       221 A       163 A   
 200.00 keV   3.825E+01  3.141E+02     330 A       240 A       176 A   
 225.00 keV   4.462E+01  3.152E+02     365 A       264 A       193 A   
 250.00 keV   4.849E+01  3.155E+02     401 A       288 A       208 A   
 275.00 keV   5.110E+01  3.154E+02     437 A       311 A       224 A   
 300.00 keV   5.308E+01  3.148E+02     473 A       334 A       240 A   
 325.00 keV   5.480E+01  3.140E+02     509 A       356 A       255 A   
 350.00 keV   5.644E+01  3.129E+02     545 A       379 A       271 A   
 375.00 keV   5.810E+01  3.115E+02     582 A       401 A       287 A   
 400.00 keV   5.984E+01  3.101E+02     619 A       424 A       302 A   
 450.00 keV   6.362E+01  3.068E+02     693 A       468 A       334 A   
 500.00 keV   6.780E+01  3.033E+02     769 A       512 A       365 A   
 550.00 keV   7.230E+01  2.996E+02     845 A       556 A       397 A   
 600.00 keV   7.701E+01  2.958E+02     922 A       599 A       428 A   
 650.00 keV   8.184E+01  2.919E+02     999 A       642 A       459 A   
 700.00 keV   8.672E+01  2.881E+02    1077 A       685 A       491 A   
 800.00 keV   9.644E+01  2.805E+02    1233 A       768 A       554 A   
 900.00 keV   1.059E+02  2.732E+02    1392 A       851 A       616 A   
   1.00 MeV   1.149E+02  2.662E+02    1552 A       932 A       678 A   
   1.10 MeV   1.234E+02  2.595E+02    1712 A      1012 A       739 A   
   1.20 MeV   1.315E+02  2.532E+02    1875 A      1091 A       800 A   
   1.30 MeV   1.392E+02  2.471E+02    2038 A      1169 A       861 A   
   1.40 MeV   1.465E+02  2.414E+02    2202 A      1245 A       921 A   
   1.50 MeV   1.535E+02  2.360E+02    2368 A      1321 A       981 A   
   1.60 MeV   1.603E+02  2.308E+02    2534 A      1395 A      1040 A   
   1.70 MeV   1.668E+02  2.259E+02    2701 A      1468 A      1099 A   
   1.80 MeV   1.731E+02  2.212E+02    2869 A      1539 A      1158 A   
   2.00 MeV   1.854E+02  2.125E+02    3207 A      1679 A      1275 A   
   2.25 MeV   2.003E+02  2.026E+02    3631 A      1848 A      1419 A   
   2.50 MeV   2.150E+02  1.938E+02    4057 A      2010 A      1560 A   
   2.75 MeV   2.297E+02  1.859E+02    4482 A      2166 A      1699 A   
   3.00 MeV   2.445E+02  1.786E+02    4905 A      2315 A      1834 A   
   3.25 MeV   2.597E+02  1.720E+02    5326 A      2457 A      1967 A   
   3.50 MeV   2.752E+02  1.660E+02    5743 A      2593 A      2096 A   
   3.75 MeV   2.910E+02  1.604E+02    6154 A      2722 A      2221 A   
   4.00 MeV   3.072E+02  1.553E+02    6560 A      2845 A      2343 A   
   4.50 MeV   3.407E+02  1.461E+02    7354 A      3072 A      2575 A   
   5.00 MeV   3.756E+02  1.381E+02    8120 A      3276 A      2792 A   
   5.50 MeV   4.116E+02  1.311E+02    8857 A      3460 A      2993 A   
